Year-Month,total_sales_in_million
Jan-2016,9.350979
Feb-2016,9.682759
Mar-2016,9.825257
Apr-2016,9.716585
May-2016,10.121412
Jun-2016,10.0746
Jul-2016,10.263807
Aug-2016,10.882057
Sep-2016,10.60982
Oct-2016,10.619003
Nov-2016,10.900886
Dec-2016,10.49898
Jan-2017,11.192197
Feb-2017,11.824369
Mar-2017,11.437109
Apr-2017,11.393492
May-2017,11.596984
Jun-2017,11.878171
Jul-2017,11.536662
Aug-2017,12.559477
Sep-2017,12.225562
Oct-2017,11.96446
Nov-2017,12.532702
Dec-2017,12.836124
Jan-2018,13.048511
Feb-2018,13.347771
Mar-2018,12.6773
Apr-2018,13.251875
May-2018,13.68783
Jun-2018,12.840517
Jul-2018,13.338406
Aug-2018,13.54232
Sep-2018,13.247269
Oct-2018,11.374035
Nov-2018,12.299535
Dec-2018,11.539095
Jan-2019,12.558735
Feb-2019,12.278447
Mar-2019,12.074324
Apr-2019,12.250084
May-2019,12.686117
Jun-2019,11.798203
Jul-2019,11.547979
Aug-2019,11.954952
Sep-2019,11.981653
Oct-2019,11.676762763833064
Nov-2019,11.32262290606021
Dec-2019,11.673485397024105
Jan-2020,11.871825902511826
Feb-2020,11.299494977961539
Mar-2020,10.990557905830206
Apr-2020,11.369916472278542
May-2020,11.485844897676225
Jun-2020,11.041050188887485
Jul-2020,10.710471188449514
Aug-2020,11.076336602849105
Sep-2020,11.231437400394594
