2016-01-01,
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,
2016-06-01,
2016-07-01,10.288896166666667
2016-08-01,10.454847333333333
2016-09-01,10.611241583333335
2016-10-01,10.748273208333334
2016-11-01,10.8796265
2016-12-01,11.016257458333333
2017-01-01,11.144441874999998
2017-02-01,11.26737
2017-03-01,11.404585083333332
2017-04-01,11.527968374999999
2017-05-01,11.652021416666665
2017-06-01,11.81739475
2017-07-01,11.992122166666668
2017-08-01,12.132943666666668
2017-09-01,12.248093374999998
2017-10-01,12.377200624999999
2017-11-01,12.541751833333333
2017-12-01,12.668968166666666
2018-01-01,12.78413858333333
2018-02-01,12.900163041666664
2018-03-01,12.983685958333334
2018-04-01,13.001656041666667
2018-05-01,12.96733970833333
2018-06-01,12.903581541666668
2018-07-01,12.829131333333335
2018-08-01,12.764168833333333
2018-09-01,12.694489666666668
2018-10-01,12.627624374999998
2018-11-01,12.544145041666665
2018-12-01,12.458977249999998
2019-01-01,12.340946375000001
2019-02-01,12.200204916666667
2019-03-01,12.081330583333331
2019-04-01,12.041210240159709
2019-05-01,12.013119226405262
2019-06-01,11.978014155700444
2019-07-01,11.954992543181108
2019-08-01,11.885581663200833
2019-09-01,11.799635075025487
2019-10-01,11.717804507446685
2019-11-01,11.631119522861466
2019-12-01,11.549560151468286
2020-01-01,11.483115958857327
2020-02-01,11.41161082516144
2020-03-01,11.343742866963261
2020-04-01,
2020-05-01,
2020-06-01,
2020-07-01,
2020-08-01,
2020-09-01,
